"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"1",0,-5.089852856,2.924820756,9.660318047,-8.35611103,NA,NA,3.842383406,NA,0.312106832,NA,10.54345636,NA,2.620901233,NA,5.159884964,7.238193014,NA,NA,NA,-2.225501932,-7.718890468,-6.781376309,-0.31414384,20.51728696,-8.735215925,NA,NA,-3.034894245,NA,-9.022149207,-3.19593666,-39.7171613,NA,NA,NA,0.248694128,5.3602537845
"2",-5.089852856,0,-9.002299148,24.83456937,6.681245432,16.03746973,8.639489261,38.97848322,-14.52808903,10.96764939,14.44242485,3.366033097,14.67179508,11.40482825,8.888183348,4.143768348,14.13731192,5.065806901,12.99067126,12.70687104,-6.531026478,-3.494799639,-10.42305878,24.50429351,30.33180491,14.3923218,0.245038689,-22.91889904,2.424194347,30.14977964,9.930042721,14.73063347,7.757550458,-16.2045174,-7.322745345,-6.512095384,15.10194596,-2.959691844
"3",2.924820756,-9.002299148,0,6.2481633255,-10.78914679,4.580169331,-1.634016434,15.8984701615,-17.13167367,-8.228113367,7.643341807,2.403662827,9.771696239,5.49202455,5.6237046675,5.48094569,22.88571593,-9.763160514,-7.479607159,6.426164479,1.884072872,6.360904788,8.683984692,-0.166174862,31.41552695,-11.40533553,-6.54300596,9.899582441,1.548968727,3.309058081,-2.638177166,-7.796097762,-29.46794243,-5.552569116,-10.06964235,-3.5585877,0.392189291,42.03556396
"4",9.660318047,24.83456937,6.2481633255,0,2.675415138,8.767379766,24.02757327,59.40809968,4.521007378,13.56788519,6.284354491,36.28988368,-11.25730054,-0.044183027,4.944742246,28.50580715,44.11404873,25.58002959,9.464034613,9.656250153,20.28523561,27.90001865,9.308678787,19.16193969,88.17896877,8.522269615,2.19301485,-30.76038345,37.85332433,18.10491209,-3.291998438,11.7213516,13.04485924,2.726891003,13.94361083,-2.040873614,19.0079153,16.43723821
"5",-8.35611103,6.681245432,-10.78914679,2.675415138,0,-15.8477608,8.956388855,20.73739241,-20.88341058,-17.77242153,-20.72880449,-1.662792904,-11.48207983,-15.58675869,-9.793079469,-4.390514853,-5.287744629,-6.762729163,-2.606167842,-20.75378789,-25.80877958,-8.64041118,2.910124002,-15.12835407,19.19130545,-5.772176441,-10.91323151,-68.68915244,6.227954371,-1.816098959,-11.9380773,-1.282864576,-30.19302841,-23.44329872,-28.55673616,-50.8313661,14.79941919,-4.1475822
"6",NA,16.03746973,4.580169331,8.767379766,-15.8477608,0,NA,26.30049775,NA,-15.91833179,NA,-9.571818622,NA,-14.69971241,NA,-13.5446877,3.466015651,NA,NA,NA,-37.69588947,8.524181853,1.815525529,-11.56481591,41.00109484,-15.27384368,NA,NA,9.597897493,NA,-32.08518594,-4.372566576,-30.62935068,NA,NA,NA,-4.784087207,33.14624389
"7",NA,8.639489261,-1.634016434,24.02757327,8.956388855,NA,0,18.10536632,NA,12.30045292,NA,2.282047711,NA,1.738538027,NA,7.603898429,-4.696790911,NA,NA,NA,3.535748733,3.382331845,-0.371497883,17.45768081,56.14483561,5.02387065,NA,NA,-2.568152457,NA,5.667228164,9.508866098,-5.333431839,NA,NA,NA,21.49808747,9.093805922
"8",3.842383406,38.97848322,15.8984701615,59.40809968,20.73739241,26.30049775,18.10536632,0,-5.28929159,47.24556346,24.07845699,52.37427854,17.06469,44.96408811,21.66829812,46.22507277,66.62546631,29.38650064,10.59022821,14.31447944,11.2205055,50.19569201,33.78313972,33.39502363,51.97721788,36.85213245,2.372455064,15.51012601,32.14932731,20.11290907,23.45173641,12.19867187,1.742197044,-0.799896301,27.44391834,16.06678384,49.72976273,55.500045815
"9",NA,-14.52808903,-17.13167367,4.521007378,-20.88341058,NA,NA,-5.28929159,0,-7.047880755,NA,-27.89324657,NA,-10.47490608,NA,-15.00884406,-43.35886805,NA,NA,NA,-54.79297143,-22.67480653,-15.8620175,-11.38227987,24.95096542,2.036343366,NA,NA,-19.04993111,NA,0.378010869,1.048889522,-27.17988297,NA,NA,NA,-7.05842228,-5.78998411
"10",0.312106832,10.96764939,-8.228113367,13.56788519,-17.77242153,-15.91833179,12.30045292,47.24556346,-7.047880755,0,2.114723722,1.353411062,-12.62013225,4.87112139,-6.415036014,2.315031451,16.79821124,6.09608142,-2.835743195,4.158227352,-9.487770168,13.58881855,-13.26642816,-0.41277856,21.94667618,-12.6009958,-13.41711199,2.341739023,10.83642658,-11.74812241,-8.386775185,9.928608897,-3.36103913,-4.597923065,-8.267184084,-13.58838126,-21.46107594,-0.959976307
"11",NA,14.44242485,7.643341807,6.284354491,-20.72880449,NA,NA,24.07845699,NA,2.114723722,0,-19.25622462,NA,-11.36983635,NA,-20.82073043,5.554164469,NA,NA,NA,-4.988732034,22.68215768,-5.817022475,-12.48880733,18.67852418,-14.94523307,NA,NA,9.919098695,NA,-23.57420414,-15.78295255,13.47416785,NA,NA,NA,8.78841898,10.24963571
"12",10.54345636,3.366033097,2.403662827,36.28988368,-1.662792904,-9.571818622,2.282047711,52.37427854,-27.89324657,1.353411062,-19.25622462,0,0.470506131,0.290804032,5.723256409,21.37026716,22.38038527,3.273064568,1.474540417,-75.43920371,10.651870455,5.907554241,9.450576788,-2.392588424,65.95898663,3.290805207,-28.17197926,-6.656996355,9.489376934,28.88500204,-7.758444182,9.752253476,-18.33340599,21.93706304,44.58547708,5.385587296,14.39975773,12.21640554
"13",NA,14.67179508,9.771696239,-11.25730054,-11.48207983,NA,NA,17.06469,NA,-12.62013225,NA,0.470506131,0,-2.717547863,NA,-4.461218945,-1.478747416,NA,NA,NA,-3.239942215,7.902333481,22.75225333,13.36456421,44.70688728,-2.289429854,NA,NA,20.84920257,NA,-16.26841635,-4.959966805,-1.617519125,NA,NA,NA,11.30545867,32.10499213
"14",2.620901233,11.40482825,5.49202455,-0.044183027,-15.58675869,-14.69971241,1.738538027,44.96408811,-10.47490608,4.87112139,-11.36983635,0.290804032,-2.717547863,0,-8.605658225,13.18216499,-14.11140121,-6.718756537,-0.71530023,-26.95221373,-39.28309317,10.35138053,3.247047125,4.191313731,37.52360622,9.365622488,-19.21107942,-83.06638019,4.767824376,11.28012993,-4.707884807,4.704105909,-14.36055011,-16.56625305,-31.97169999,-64.43327092,-13.80098862,-3.435336394
"15",NA,8.888183348,5.6237046675,4.944742246,-9.793079469,NA,NA,21.66829812,NA,-6.415036014,NA,5.723256409,NA,-8.605658225,0,-10.04381047,-0.471187462,NA,NA,NA,-5.448376128,8.568908608,13.47209638,-1.477160204,18.42053671,9.01090282,NA,NA,21.28317623,NA,-10.15039475,3.91942755,9.131774447,NA,NA,NA,-5.159177122,32.443463475
"16",5.159884964,4.143768348,5.48094569,28.50580715,-4.390514853,-13.5446877,7.603898429,46.22507277,-15.00884406,2.315031451,-20.82073043,21.37026716,-4.461218945,13.18216499,-10.04381047,0,9.978296211,10.66733469,-5.735811723,-45.99436575,7.057927391,12.7753582,12.4912251,-8.015258611,45.263339175,-1.206078007,-9.476911953,-40.67026668,13.4965113,6.750014217,-1.108926504,3.150903286,-20.43473038,9.487418568,31.14142698,-18.4874913,11.03267919,7.969866269
"17",7.238193014,14.13731192,22.88571593,44.11404873,-5.287744629,3.466015651,-4.696790911,66.62546631,-43.35886805,16.79821124,5.554164469,22.38038527,-1.478747416,-14.11140121,-0.471187462,9.978296211,0,3.273731011,-5.494639741,7.360881392,29.05491203,19.21276237,19.69971808,9.320467674,52.34047368,3.2329240875,-6.261719342,9.367057911,25.51205421,22.56051276,3.840265372,22.74417986,-2.354513833,6.873562048,2.829644554,15.14081152,12.59734115,25.35592598
"18",NA,5.065806901,-9.763160514,25.58002959,-6.762729163,NA,NA,29.38650064,NA,6.09608142,NA,3.273064568,NA,-6.718756537,NA,10.66733469,3.273731011,0,NA,NA,-6.072997805,-18.21712256,4.540968253,-2.737297126,46.25636535,8.212683947,NA,NA,-15.3472795,NA,7.089829985,13.59883962,-30.51532048,NA,NA,NA,6.520262996,9.530880444
"19",NA,12.99067126,-7.479607159,9.464034613,-2.606167842,NA,NA,10.59022821,NA,-2.835743195,NA,1.474540417,NA,-0.71530023,NA,-5.735811723,-5.494639741,NA,0,NA,-9.260611005,3.812001097,7.894259277,-8.815878598,14.81466031,-2.184990655,NA,NA,19.24377644,NA,-9.628890252,2.763981816,-9.552468481,NA,NA,NA,-2.936337298,7.854112332
"20",NA,12.70687104,6.426164479,9.656250153,-20.75378789,NA,NA,14.31447944,NA,4.158227352,NA,-75.43920371,NA,-26.95221373,NA,-45.99436575,7.360881392,NA,NA,0,-3.472997526,2.096572062,8.684702777,-22.43464849,16.83295229,-5.982131585,NA,NA,13.08421427,NA,-67.21959811,1.306130065,8.156563142,NA,NA,NA,3.286037194,9.77704905
"21",-2.225501932,-6.531026478,1.884072872,20.28523561,-25.80877958,-37.69588947,3.535748733,11.2205055,-54.79297143,-9.487770168,-4.988732034,10.651870455,-3.239942215,-39.28309317,-5.448376128,7.057927391,29.05491203,-6.072997805,-9.260611005,-3.472997526,0,6.789193117,10.12474232,-4.826766817,28.404886365,-3.142078871,-32.9817609,4.797910591,-5.184323041,-0.287441677,-9.054622087,1.5914956445,-17.15157624,-4.25075032,-17.23730757,-3.144718955,-3.020027651,5.218175535
"22",-7.718890468,-3.494799639,6.360904788,27.90001865,-8.64041118,8.524181853,3.382331845,50.19569201,-22.67480653,13.58881855,22.68215768,5.907554241,7.902333481,10.35138053,8.568908608,12.7753582,19.21276237,-18.21712256,3.812001097,2.096572062,6.789193117,0,13.74402148,5.91645384,31.27795024,8.931768074,2.28133874,16.42751439,-1.43152494,-8.409555926,2.608623506,-4.757422885,-29.40136524,5.466871414,6.968446045,-13.2703892,34.2437533,12.62691166
"23",-6.781376309,-10.42305878,8.683984692,9.308678787,2.910124002,1.815525529,-0.371497883,33.78313972,-15.8620175,-13.26642816,-5.817022475,9.450576788,22.75225333,3.247047125,13.47209638,12.4912251,19.69971808,4.540968253,7.894259277,8.684702777,10.12474232,13.74402148,0,12.51543076,57.06478373,3.189160381,-0.953767123,-20.74950607,3.545276678,23.9809953725,3.613832441,0.959145286,113.511627575,32.71577214,15.53045252,-4.687706109,25.39429855,-4.385680687
"24",-0.31414384,24.50429351,-0.166174862,19.16193969,-15.12835407,-11.56481591,17.45768081,33.39502363,-11.38227987,-0.41277856,-12.48880733,-2.392588424,13.36456421,4.191313731,-1.477160204,-8.015258611,9.320467674,-2.737297126,-8.815878598,-22.43464849,-4.826766817,5.91645384,12.51543076,0,25.98349317,-15.89077651,-13.54650855,14.04825129,6.448919475,-34.45197815,-7.079907518,-6.148960343,-17.15345812,5.837897758,16.51371233,-13.65031169,0.110957004,16.78026241
"25",20.51728696,30.33180491,31.41552695,88.17896877,19.19130545,41.00109484,56.14483561,51.97721788,24.95096542,21.94667618,18.67852418,65.95898663,44.70688728,37.52360622,18.42053671,45.263339175,52.34047368,46.25636535,14.81466031,16.83295229,28.404886365,31.27795024,57.06478373,25.98349317,0,20.64180044,1.540565379,32.27519739,67.83657605,37.90775382,14.53200264,21.23463177,59.33113286,16.15333073,49.92967777,18.40937156,33.23479629,30.0619252
"26",-8.735215925,14.3923218,-11.40533553,8.522269615,-5.772176441,-15.27384368,5.02387065,36.85213245,2.036343366,-12.6009958,-14.94523307,3.290805207,-2.289429854,9.365622488,9.01090282,-1.206078007,3.2329240875,8.212683947,-2.184990655,-5.982131585,-3.142078871,8.931768074,3.189160381,-15.89077651,20.64180044,0,-37.00959264,0.158588292,12.01005974,11.60795742,4.275508867,8.0911801905,-26.00954257,18.60282211,6.14613388,-17.35601816,0.003893257,6.84393387
"27",NA,0.245038689,-6.54300596,2.19301485,-10.91323151,NA,NA,2.372455064,NA,-13.41711199,NA,-28.17197926,NA,-19.21107942,NA,-9.476911953,-6.261719342,NA,NA,NA,-32.9817609,2.28133874,-0.953767123,-13.54650855,1.540565379,-37.00959264,0,NA,4.732357511,NA,-20.07339267,-9.780901583,-10.27981043,NA,NA,NA,-4.483640451,6.517719401
"28",NA,-22.91889904,9.899582441,-30.76038345,-68.68915244,NA,NA,15.51012601,NA,2.341739023,NA,-6.656996355,NA,-83.06638019,NA,-40.67026668,9.367057911,NA,NA,NA,4.797910591,16.42751439,-20.74950607,14.04825129,32.27519739,0.158588292,NA,0,-21.75061851,NA,-15.62452069,-17.87437502,-25.89946021,NA,NA,NA,-0.013790492,-17.67396626
"29",-3.034894245,2.424194347,1.548968727,37.85332433,6.227954371,9.597897493,-2.568152457,32.14932731,-19.04993111,10.83642658,9.919098695,9.489376934,20.84920257,4.767824376,21.28317623,13.4965113,25.51205421,-15.3472795,19.24377644,13.08421427,-5.184323041,-1.43152494,3.545276678,6.448919475,67.83657605,12.01005974,4.732357511,-21.75061851,0,10.20947833,14.6828911,17.23864216,-45.77880245,-2.346933343,-0.842035121,-32.29731273,18.47375873,16.30191927
"30",NA,30.14977964,3.309058081,18.10491209,-1.816098959,NA,NA,20.11290907,NA,-11.74812241,NA,28.88500204,NA,11.28012993,NA,6.750014217,22.56051276,NA,NA,NA,-0.287441677,-8.409555926,23.9809953725,-34.45197815,37.90775382,11.60795742,NA,NA,10.20947833,0,2.797102669,13.86401441,-36.39302292,NA,NA,NA,13.98047181,12.02303617
"31",-9.022149207,9.930042721,-2.638177166,-3.291998438,-11.9380773,-32.08518594,5.667228164,23.45173641,0.378010869,-8.386775185,-23.57420414,-7.758444182,-16.26841635,-4.707884807,-10.15039475,-1.108926504,3.840265372,7.089829985,-9.628890252,-67.21959811,-9.054622087,2.608623506,3.613832441,-7.079907518,14.53200264,4.275508867,-20.07339267,-15.62452069,14.6828911,2.797102669,0,-3.574109469,-4.214872973,-4.322938951,20.63455115,-9.761205437,-6.898153537,-6.215264784
"32",-3.19593666,14.73063347,-7.796097762,11.7213516,-1.282864576,-4.372566576,9.508866098,12.19867187,1.048889522,9.928608897,-15.78295255,9.752253476,-4.959966805,4.704105909,3.91942755,3.150903286,22.74417986,13.59883962,2.763981816,1.306130065,1.5914956445,-4.757422885,0.959145286,-6.148960343,21.23463177,8.0911801905,-9.780901583,-17.87437502,17.23864216,13.86401441,-3.574109469,0,-5.509028117,2.19470209,7.585883919,-1.719933001,-6.25620828,0.829513619
"33",-39.7171613,7.757550458,-29.46794243,13.04485924,-30.19302841,-30.62935068,-5.333431839,1.742197044,-27.17988297,-3.36103913,13.47416785,-18.33340599,-1.617519125,-14.36055011,9.131774447,-20.43473038,-2.354513833,-30.51532048,-9.552468481,8.156563142,-17.15157624,-29.40136524,113.511627575,-17.15345812,59.33113286,-26.00954257,-10.27981043,-25.89946021,-45.77880245,-36.39302292,-4.214872973,-5.509028117,0,1.398051992,-51.0342432,-28.0438796,5.007421473,9.3316550285
"34",NA,-16.2045174,-5.552569116,2.726891003,-23.44329872,NA,NA,-0.799896301,NA,-4.597923065,NA,21.93706304,NA,-16.56625305,NA,9.487418568,6.873562048,NA,NA,NA,-4.25075032,5.466871414,32.71577214,5.837897758,16.15333073,18.60282211,NA,NA,-2.346933343,NA,-4.322938951,2.19470209,1.398051992,0,NA,NA,6.457405081,9.286129562
